id,name,desc,choice,owner
19,「西伯利亚」烘焙坊,据说这家店第一个老板养了一只西伯利亚猫，于是索性就把店名起做「西伯利亚」了|克罗华森正在楼梯上玩 酷儿正在柜台上睡觉,鱼面包(3火币)|buy_item:1 脚掌面包(1.5火币)|buy_item:2 猫形面包(9火币)|buy_item:3 脚印烧口袋三明治(8.5火币)|buy_item:4 离开|move_to:1,city
20,蛋糕店,中央广场的一家蛋糕店，售卖着各式各样的蛋糕|梅普正在吃一块蛋糕 梅普正在努力上楼 梅普正在和顾客玩耍,猫形饼干(11火币)|buy_item:5 鱼形饼干(11火币)|buy_item:6 购买一块低糖减脂蛋糕(10火币)|buy_item:7 购买一角苹果派(6.5火币)|buy_item:8 购买整个苹果派(39火币)|buy_item:9 离开|move_to:1,city
21,剧院,结合了音乐厅、电影院、剧院等多功能设施，市民们经常来观赏演出|杰克正在捉老鼠 杰克正在椅子上舔毛,观看电影(20火币)|watch 欣赏古典音乐会|watch 离开|move_to:1,city
22,咖啡屋,位于中央广场的咖啡店，连接着广场和索马里大道,猫猫咖啡(5火币)|buy_item:10 卡布奇诺(6火币)|buy_item:11 焦糖玛奇朵(8火币)|buy_item:12 购买奶昔(3火币)|buy_item:13 购买奶茶(5火币)|buy_item:14 离开|move_to:1,city
23,可丽饼店,飘散着香甜的奶油香味，一只名叫“巧克力”的猫在椅子上打盹,草莓可丽饼(10火币)|buy_item:15 香蕉可丽饼(9火币)|buy_item:16 健康可丽饼(9火币)|buy_item:17 奶油可丽饼(5火币)|buy_item:18 离开|move_to:1,city
24,空店铺,一间空置的店铺，门口贴着“旺铺转让”,买下店铺(2000火币)|buy_shop 离开|move_to:1,city
25,空店铺,一间空置的店铺，门口贴着“旺铺转让”,买下店铺(2000火币)|buy_shop 离开|move_to:1,city
26,市政府,城市的行政首脑，公务员们和猫们在大厅里穿梭,离开|4,city
27,报社,整个城市的报社，在没有网络的年代，大概是唯一的媒体了吧,买一份报(2火币)|buy_item:19 离开|move_to:4,city
28,火车站,非常热闹的车站，各种游客和本地居民出入往来|卡米拉正在带小猫上厕所 卡米拉在长椅上休息,离开|move_to:4,city

{id_旅游大巴},旅游大巴,正前方的黄色建筑物是NEARGO旅游局，满载着游客的巴士好像正要出发,前往哈瓦那大道|move_to:{id_哈瓦那大道(现在是6)},city
{id_利普尔港车站调度场},利普尔港车站调度场,利普尔港车站的调度场前，站务人员正给在附近出没的猫咪母子喂粮,前往利普尔港车站|move_to:{id_利普尔港车站},city
{id_利普尔港车站},利普尔港车站,利普尔港车站内，白天总是繁忙熙攘，车流往来而去，而夜晚则一片寂静,前往利普尔港车站调度场|move_to:{id_利普尔港车站调度场},city

